i	j	x	r	mach	theta	press	temp
76	46	1.38572	0.747499	2.10434	15.5738	32.0027	2873.47
77	46	1.40391	0.743373	2.11249	15.499	31.5692	2865.15
78	46	1.42467	0.738685	2.12172	15.4156	31.0846	2855.74
79	46	1.44827	0.733375	2.13227	15.3191	30.5396	2845.02
80	46	1.47523	0.727339	2.14457	15.2007	29.9153	2832.55
81	46	1.50617	0.720441	2.15935	15.0434	29.1809	2817.63
82	46	1.54535	0.711734	2.17964	14.7937	28.2004	2797.23
83	46	1.59658	0.700363	2.20754	14.4207	26.9023	2769.34
84	46	1.63803	0.691173	2.22772	14.1902	25.999	2749.31
85	46	1.6882	0.680066	2.254	13.8515	24.8658	2723.38
86	46	1.73382	0.669971	2.2763	13.5892	23.9407	2701.52
87	46	1.78629	0.658357	2.30332	13.2438	22.8644	2675.23
88	46	1.83675	0.647181	2.32815	12.9431	21.916	2651.24
89	46	1.89276	0.634751	2.35665	12.5786	20.8743	2623.94
90	46	1.94843	0.622362	2.38413	12.2381	19.9151	2597.83
91	46	2.00891	0.608853	2.41458	11.8472	18.9018	2569.14
92	46	2.07031	0.595075	2.44484	11.4659	17.9448	2540.92
93	46	2.13619	0.580205	2.47766	11.0428	16.96	2510.61
94	46	2.20401	0.56479	2.51089	10.6192	16.017	2480.26
95	46	2.2763	0.548223	2.54646	10.159	15.0645	2448.14
96	46	2.35146	0.530838	2.58292	9.69088	14.1463	2415.63
97	46	2.43134	0.512158	2.62163	9.18904	13.2316	2381.54
98	46	2.51502	0.492356	2.66163	8.67324	12.3482	2346.82
99	46	2.60394	0.471027	2.70393	8.12494	11.4779	2310.63
100	46	2.69766	0.448212	2.74786	7.55759	10.6387	2273.63
101	46	2.79741	0.42353	2.7942	6.95736	9.81998	2235.25
102	46	2.90313	0.396901	2.84253	6.3332	9.03362	2195.94
103	46	3.01595	0.367923	2.89343	5.67416	8.27387	2155.31
104	46	3.13617	0.336387	2.94663	4.98552	7.54873	2113.69
105	46	3.26494	0.301822	3.00259	4.25737	6.85553	2070.84
106	46	3.4029	0.263858	3.06106	3.49082	6.20028	2027.08
107	46	3.5513	0.221887	3.12224	2.67302	5.58294	1982.38
108	46	3.71108	0.175302	3.1855	1.79382	5.01062	1937.32
109	46	3.88352	0.123215	3.24954	0.810564	4.49252	1892.88
110	46	4.0703	0.0648697	3.31015	0	4.05304	1851.91
111	46	4.12219	0.0484966	3.32361	0	3.96161	1842.94

0	47	0.326039	1.06372	1.71481	17.4746	60.1984	3286.57
1	47	0.326357	1.06362	1.71489	17.4749	60.1906	3286.48
2	47	0.336337	1.06034	1.71753	17.4861	59.9431	3283.6
3	47	0.346538	1.05701	1.72028	17.4962	59.6869	3280.61
4	47	0.356957	1.05363	1.72312	17.5053	59.4223	3277.51
5	47	0.367594	1.05018	1.72607	17.5135	59.1495	3274.31
6	47	0.378445	1.04669	1.72911	17.5208	58.8688	3271
7	47	0.389508	1.04314	1.73225	17.5271	58.5804	3267.59
8	47	0.400782	1.03955	1.73548	17.5325	58.2845	3264.07
9	47	0.412263	1.0359	1.73881	17.5371	57.9812	3260.45
10	47	0.423949	1.03221	1.74223	17.5408	57.6708	3256.73
11	47	0.435839	1.02848	1.74575	17.5436	57.3534	3252.91
12	47	0.447931	1.0247	1.74935	17.5456	57.0292	3249
13	47	0.460222	1.02087	1.75305	17.5466	56.6982	3244.98
14	47	0.47271	1.01701	1.75685	17.5467	56.3606	3240.86
15	47	0.485395	1.01311	1.76073	17.5459	56.0164	3236.64
16	47	0.498275	1.00916	1.76472	17.544	55.6658	3232.33
17	47	0.511349	1.00518	1.76879	17.5412	55.3087	3227.91
18	47	0.524615	1.00117	1.77297	17.5373	54.9452	3223.38
19	47	0.538073	0.997117	1.77724	17.5322	54.5753	3218.76
20	47	0.551722	0.993032	1.78161	17.526	54.1991	3214.03
21	47	0.56556	0.988913	1.78608	17.5186	53.8165	3209.19
22	47	0.579589	0.984761	1.79065	17.5098	53.4276	3204.25
23	47	0.593807	0.980578	1.79533	17.4997	53.0323	3199.19
24	47	0.608215	0.976364	1.80011	17.4881	52.6307	3194.03
25	47	0.622811	0.97212	1.805	17.4751	52.2227	3188.75
26	47	0.637596	0.967846	1.81	17.4605	51.8085	3183.35
27	47	0.65257	0.963543	1.81511	17.4442	51.3879	3177.84
