Summary output file for CONGO-2D

Definition of terms:
Stream Thrust = Mdot*Vel + Pexit*Aexit
Gross Thrust = Mdot*Vel + Pexit*Aexit - Pamb*Aexit
Stream Thrust = Gross Thrust when Pamb = 0 (vacuum)
Cfg = Nozzle Thrust Coefficient (Gross Isp/Ideal Isp)
C* = Characteristic Exhaust Velocity
CD = Discharge coefficient: Massflow 2D/ Massflow 1D
1D = Assumes input are axial
2D = Uses actual flow angles in calculation

Input parameters
R*  = Throat Radius (in)

Nozzle Type: Minimum Length Nozzle

Nozzle Geometry:	Axisymmetric Nozzle
Design Parameter:	PTotal/PExit = 15.9542
Throat Geometry created by two arcs of given radii.
Upstream Radius/R*:	1.5
Downstream Radius/R*:	0.8

Thermodynamic Inputs
Total Pressure (psia):	290.076
Total Temperature (R):	4591.26
Gamma:	1.27
Molecular Weight:	21.65
Ambient Pressure (psia):	15.9542

MOC Grid Parameters
Number of characteristic lines at the nozzle throat:	141
Maximum allowable angle between characteristics along wall (deg):	1
Number of RRCs to calculate above KERNEL (50-100):	15

The Initial Data Line is where the MOC calculation begins.
Its based on the upstream radius of curvature and gamma.
It is solved for using a method developed
by Kliegel and Levine. This method is based on a method
developed by Hall. Hall used cylindrical coordinates (R)
This method uses toroid coordinates (R+1). This method
does better for small upstream radii.

Initial Data Line (Throat)

I	X/R*	R/R*	Mach	Flow Angle(deg)	Pres.(psia)	Temp.(R)	Den.(slug/ft3)	Gamma	Mass Flow(lbm/s)
132	0.785208	0.0268379	1.49997	0.277422	83.3084	3521.61	0.00148366	1.27	0.00360565
133	0.785293	0.0219768	1.49997	0.227111	83.3088	3521.61	0.00148367	1.27	0.00241776
134	0.785373	0.0174471	1.49998	0.180266	83.3077	3521.6	0.00148365	1.27	0.00152377
135	0.785446	0.013277	1.5	0.137165	83.3054	3521.58	0.00148362	1.27	0.00088241
136	0.78548	0.00950296	1.5	0.0981656	83.3053	3521.58	0.00148362	1.27	0.000452048
137	0.785494	0.00617372	1.49999	0.0637702	83.3058	3521.59	0.00148362	1.27	0.000190791
138	0.785506	0.00336107	1.5	0.0347166	83.3056	3521.58	0.00148362	1.27	5.65484e-05
139	0.785511	0.00118843	1.5	0.0122752	83.3055	3521.58	0.00148362	1.27	7.06988e-06
140	0.785514	0	1.5	0	83.3053	3521.58	0.00148362	1.27	0

Initial Data Line(Throat Plane) 
For a throat radius(in) = 1.0. 
2-D Mass Flow (lbm/s):	5.91048
2-D Gross Thrust (lbf):	1082.77
2-D Isp (lbf-s/lbm):	183.194
For an axisymmeric nozzle ,thrust and massflow are proportional to the throat
radius squared (R*^2). To find these values for a radius other than 1 inch,
multiple the values by the square of the new radius. For example, for a radius
of 3 inches, thrust and massflow would increase by a factor of 9.
2-D C* (ft/s):	4960.71

Based on the total conditions and assuming Mach = 1 at throat
1-D Mass Flow (lbm/s):	5.97625
1-D Gross Thrust (lbf):	1026.48
1-D Gross Isp (lbf-s/lbm):	171.76
1-D C* (ft/s):	4906.12
CD(2-D/1-D):	0.988995

Initial Expansion Angle ThetaB(deg):	17.1881
Massflow error due to grid at end of Kernel (%):	100

Last LRC, DE that effects the nozzle wall contour.
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Velocity(ft/s)	Density(slug/ft3)	Gamma	
0	0.525849	0.290334	1.30109	3.5069	109.729	3738.15	0.00184518	1.27
1	0.485241	0.028687	1.19131	0.0476248	126.884	3854.08	0.00206801	1.27
2	0.486875	0.0315218	1.19251	0.0754269	126.688	3852.83	0.00206551	1.27
3	0.489568	0.0361769	1.19451	0.121515	126.363	3850.75	0.00206135	1.27
4	0.493278	0.0425546	1.1973	0.185549	125.91	3847.85	0.00205555	1.27
5	0.497949	0.0505297	1.20086	0.267111	125.333	3844.14	0.00204815	1.27
6	0.503521	0.0599587	1.20519	0.365747	124.633	3839.63	0.00203917	1.27
7	0.509925	0.0706886	1.21027	0.481005	123.814	3834.32	0.00202865	1.27
8	0.517095	0.0825654	1.21609	0.612477	122.879	3828.23	0.00201664	1.27
9	0.524964	0.0954404	1.22263	0.759816	121.833	3821.38	0.00200315	1.27
10	0.533472	0.109175	1.22989	0.922762	120.678	3813.76	0.00198825	1.27
11	0.542562	0.123645	1.23784	1.10115	119.419	3805.39	0.00197197	1.27
12	0.552186	0.13874	1.24649	1.29489	118.059	3796.27	0.00195434	1.27
13	0.562299	0.154365	1.25582	1.50402	116.601	3786.42	0.0019354	1.27
14	0.572866	0.170439	1.26583	1.72865	115.048	3775.82	0.00191517	1.27
15	0.583856	0.186898	1.27652	1.96895	113.404	3764.47	0.00189369	1.27
16	0.595244	0.203687	1.28788	2.22521	111.671	3752.38	0.00187097	1.27
17	0.607012	0.220764	1.29992	2.49775	109.851	3739.53	0.00184705	1.27
18	0.619143	0.238097	1.31265	2.78697	107.947	3725.91	0.00182193	1.27
19	0.631626	0.255663	1.32607	3.09334	105.961	3711.51	0.00179563	1.27
20	0.644456	0.273445	1.3402	3.41734	103.895	3696.32	0.00176817	1.27
21	0.657627	0.291435	1.35506	3.75955	101.751	3680.3	0.00173955	1.27
22	0.671139	0.309628	1.37065	4.12056	99.5314	3663.45	0.00170978	1.27
23	0.684992	0.328027	1.38699	4.501	97.2376	3645.74	0.00167888	1.27
24	0.699191	0.346637	1.40412	4.90157	94.8718	3627.13	0.00164685	1.27
25	0.713741	0.365469	1.42206	5.32296	92.4363	3607.61	0.0016137	1.27
26	0.72865	0.384535	1.44083	5.76597	89.9331	3587.14	0.00157944	1.27
27	0.743928	0.403854	1.46047	6.23137	87.3646	3565.68	0.00154408	1.27
28	0.759585	0.423446	1.481	6.72001	84.7334	3543.19	0.00150764	1.27
29	0.775634	0.443335	1.50248	7.23275	82.0422	3519.65	0.00147013	1.27
30	0.792091	0.463549	1.52493	7.77051	79.2943	3494.99	0.00143155	1.27
31	0.808971	0.484117	1.54841	8.33426	76.4927	3469.19	0.00139194	1.27
32	0.826291	0.505074	1.57296	8.92501	73.6412	3442.18	0.00135132	1.27
33	0.844072	0.526459	1.59865	9.54382	70.7438	3413.93	0.00130971	1.27
34	0.862335	0.548313	1.62552	10.1918	67.8048	3384.36	0.00126713	1.27
35	0.881104	0.570684	1.65364	10.8702	64.8288	3353.43	0.00122364	1.27
36	0.900404	0.593624	1.68309	11.5802	61.8209	3321.06	0.00117925	1.27
37	0.920263	0.617192	1.71395	12.3232	58.7867	3287.2	0.00113403	1.27
38	0.940713	0.641451	1.74631	13.1007	55.7321	3251.76	0.00108801	1.27
39	0.961788	0.666475	1.78025	13.9141	52.6634	3214.68	0.00104125	1.27
40	0.983525	0.692345	1.8159	14.7652	49.5874	3175.85	0.00099381	1.27
41	1.00597	0.719154	1.85338	15.6559	46.5113	3135.2	0.000945762	1.27
42	1.02916	0.747005	1.89283	16.5881	43.4428	3092.62	0.000897178	1.27
43	1.04118	0.761516	1.91357	17.0758	41.8972	3070.33	0.000872441	1.27
44	1.97763	0.585763	2.41046	12.0469	19.036	2573.01	0.000464002	1.27
45	1.99326	0.597323	2.41255	11.9455	18.968	2571.05	0.000462697	1.27
46	2.00891	0.608853	2.41458	11.8472	18.9018	2569.14	0.000461426	1.27
47	2.04035	0.631858	2.41852	11.6587	18.7746	2565.46	0.000458979	1.27
48	2.0719	0.654756	2.42228	11.4805	18.6538	2561.94	0.000456652	1.27
49	2.10355	0.677551	2.42588	11.3118	18.5389	2558.58	0.000454436	1.27
50	2.13531	0.700249	2.42933	11.1516	18.4294	2555.36	0.000452322	1.27
51	2.16716	0.722854	2.43264	10.9992	18.325	2552.27	0.000450301	1.27
52	2.1991	0.74537	2.43582	10.854	18.2251	2549.31	0.000448368	1.27
53	2.23113	0.767802	2.43888	10.7155	18.1295	2546.46	0.000446515	1.27
54	2.26324	0.790152	2.44183	10.583	18.0379	2543.72	0.000444737	1.27
55	2.29543	0.812424	2.44467	10.4562	17.9499	2541.08	0.000443029	1.27
56	2.32769	0.834621	2.44742	10.3346	17.8654	2538.53	0.000441386	1.27
57	2.36003	0.856746	2.45007	10.2179	17.7841	2536.07	0.000439804	1.27
58	2.39244	0.878801	2.45264	10.1057	17.7058	2533.69	0.000438278	1.27
59	2.42492	0.90079	2.45512	9.99782	17.6304	2531.39	0.000436807	1.27
60	2.45746	0.922714	2.45753	9.89386	17.5576	2529.16	0.000435386	1.27
61	2.49006	0.944575	2.45987	9.79363	17.4872	2527.01	0.000434012	1.27
62	2.52273	0.966377	2.46213	9.6969	17.4192	2524.91	0.000432683	1.27
63	2.55545	0.988119	2.46433	9.60345	17.3535	2522.88	0.000431396	1.27
64	2.58823	1.00981	2.46647	9.5131	17.2898	2520.91	0.000430149	1.27
65	2.62106	1.03144	2.46855	9.42567	17.2281	2519	0.00042894	1.27
66	2.65395	1.05302	2.47057	9.341	17.1683	2517.14	0.000427767	1.27
67	2.68689	1.07454	2.47254	9.25894	17.1103	2515.33	0.000426628	1.27
68	2.71988	1.09602	2.47445	9.17937	17.0539	2513.56	0.000425521	1.27
69	2.75292	1.11745	2.47632	9.10214	16.9992	2511.84	0.000424446	1.27
70	2.786	1.13883	2.47815	9.02714	16.946	2510.17	0.000423399	1.27
71	2.81913	1.16016	2.47992	8.95426	16.8942	2508.54	0.000422381	1.27
72	2.8523	1.18145	2.48166	8.88339	16.8439	2506.95	0.000421389	1.27
73	2.88552	1.20269	2.48335	8.81445	16.7948	2505.39	0.000420423	1.27
74	2.91878	1.2239	2.48501	8.74735	16.747	2503.88	0.000419481	1.27
75	2.95208	1.24506	2.48662	8.68199	16.7005	2502.4	0.000418562	1.27
76	2.98541	1.26618	2.48821	8.61831	16.6551	2500.95	0.000417666	1.27
77	3.01879	1.28726	2.48975	8.55622	16.6108	2499.53	0.000416791	1.27
78	3.05221	1.3083	2.49127	8.49567	16.5676	2498.15	0.000415937	1.27
79	3.08566	1.32931	2.49275	8.43658	16.5254	2496.79	0.000415102	1.27
80	3.11915	1.35027	2.4942	8.3789	16.4841	2495.47	0.000414286	1.27
81	3.15267	1.37121	2.49562	8.32257	16.4438	2494.17	0.000413489	1.27
82	3.18623	1.3921	2.49701	8.26753	16.4045	2492.9	0.000412709	1.27
83	3.21982	1.41296	2.49838	8.21373	16.3659	2491.65	0.000411946	1.27
84	3.25345	1.43379	2.49972	8.16113	16.3283	2490.43	0.000411199	1.27
85	3.2871	1.45459	2.50103	8.10968	16.2914	2489.24	0.000410468	1.27
86	3.32079	1.47535	2.50232	8.05933	16.2553	2488.06	0.000409752	1.27
87	3.35451	1.49608	2.50358	8.01006	16.22	2486.91	0.00040905	1.27
88	3.38826	1.51678	2.50482	7.96181	16.1854	2485.78	0.000408362	1.27
89	3.42204	1.53745	2.50604	7.91455	16.1514	2484.67	0.000407688	1.27
90	3.45584	1.55809	2.50724	7.86824	16.1182	2483.59	0.000407027	1.27
91	3.48968	1.5787	2.50841	7.82286	16.0856	2482.52	0.000406379	1.27
92	3.52354	1.59928	2.50957	7.77837	16.0536	2481.47	0.000405743	1.27
93	3.55743	1.61983	2.5107	7.73474	16.0223	2480.44	0.000405119	1.27
