i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
43	1	0.0967686	0.798632	1.09371	0.995912	143.451	3952.92	0.00227601	3.77333
44	1	0.101194	0.789101	1.09401	1.00202	143.4	3952.62	0.00227537	3.68285
45	1	0.105715	0.779385	1.0944	1.00664	143.332	3952.22	0.00227452	3.59173
46	1	0.110331	0.76949	1.09489	1.00981	143.248	3951.73	0.00227347	3.50009
47	1	0.115042	0.759423	1.09547	1.01157	143.149	3951.14	0.00227223	3.40806
48	1	0.119846	0.74919	1.09614	1.01198	143.035	3950.47	0.0022708	3.31577
49	1	0.124743	0.738798	1.09689	1.01107	142.906	3949.72	0.0022692	3.22333
50	1	0.129732	0.728253	1.09772	1.00889	142.764	3948.89	0.00226742	3.13086
51	1	0.134812	0.717562	1.09862	1.0055	142.61	3947.98	0.00226549	3.03848
52	1	0.139983	0.706732	1.0996	1.00091	142.443	3946.99	0.0022634	2.9463
53	1	0.145243	0.695769	1.10064	0.995179	142.264	3945.94	0.00226116	2.85443
54	1	0.150592	0.684679	1.10175	0.988329	142.074	3944.82	0.00225878	2.76298
55	1	0.156027	0.673468	1.10293	0.980385	141.873	3943.63	0.00225627	2.67205
56	1	0.161549	0.662144	1.10416	0.971364	141.663	3942.39	0.00225363	2.58174
57	1	0.167156	0.650712	1.10546	0.961274	141.442	3941.08	0.00225087	2.49214
58	1	0.172847	0.639178	1.10681	0.950118	141.212	3939.72	0.00224798	2.40335
59	1	0.178619	0.627548	1.10821	0.937885	140.973	3938.3	0.00224498	2.31546
60	1	0.184473	0.615828	1.10967	0.924557	140.724	3936.82	0.00224187	2.22854
61	1	0.190406	0.604024	1.11119	0.910107	140.467	3935.29	0.00223864	2.14268
62	1	0.196418	0.592141	1.11276	0.894495	140.2	3933.7	0.00223529	2.05797
63	1	0.202506	0.580186	1.11438	0.877672	139.925	3932.06	0.00223184	1.97446
64	1	0.208669	0.568164	1.11606	0.859578	139.641	3930.36	0.00222826	1.89224
65	1	0.214906	0.556081	1.11779	0.840143	139.347	3928.6	0.00222458	1.81137
66	1	0.221215	0.543942	1.11958	0.819285	139.045	3926.78	0.00222077	1.73192
67	1	0.227594	0.531753	1.12143	0.796912	138.733	3924.91	0.00221685	1.65393
68	1	0.234041	0.519519	1.12333	0.772923	138.411	3922.97	0.0022128	1.57748
69	1	0.240556	0.507245	1.1253	0.747205	138.079	3920.97	0.00220862	1.50261
70	1	0.247135	0.494938	1.12733	0.719633	137.737	3918.9	0.00220431	1.42938
71	1	0.253778	0.482602	1.12943	0.690074	137.384	3916.77	0.00219987	1.35783
72	1	0.260482	0.470242	1.13159	0.658384	137.021	3914.56	0.00219528	1.28799
73	1	0.267246	0.457865	1.13382	0.624408	136.647	3912.29	0.00219056	1.21992
74	1	0.274067	0.445473	1.13612	0.587981	136.261	3909.94	0.00218569	1.15364
75	1	0.280944	0.433074	1.1385	0.548925	135.864	3907.51	0.00218067	1.0892
76	1	0.287875	0.420671	1.14095	0.507051	135.454	3905	0.00217549	1.02661
77	1	0.294857	0.408269	1.14347	0.462157	135.033	3902.42	0.00217017	0.965901
78	1	0.301889	0.395873	1.14608	0.414027	134.599	3899.75	0.00216468	0.907097
79	1	0.308968	0.383488	1.14876	0.362428	134.154	3897	0.00215903	0.850216
80	1	0.316092	0.371119	1.15152	0.307109	133.695	3894.17	0.00215322	0.795271
81	1	0.323259	0.358769	1.15436	0.247798	133.224	3891.25	0.00214724	0.742276
82	1	0.330465	0.346442	1.15728	0.184194	132.741	3888.24	0.00214111	0.691238
83	1	0.337708	0.334145	1.16029	0.11597	132.245	3885.15	0.0021348	0.642163
84	1	0.344986	0.321879	1.16338	0.0427581	131.736	3881.97	0.00212834	0.595054
85	1	0.35233	0.309597	1.16641	0	131.237	3878.83	0.00212198	0.549711
86	1	0.359721	0.297359	1.17001	0	130.646	3875.12	0.00211446	0.506329
87	1	0.367098	0.285305	1.17488	0	129.851	3870.09	0.00210431	0.46536
88	1	0.374503	0.273401	1.18046	0	128.941	3864.31	0.0020927	0.426615
89	1	0.381955	0.261626	1.18648	0	127.964	3858.06	0.0020802	0.389978
90	1	0.389463	0.249973	1.19279	0	126.943	3851.5	0.00206712	0.355369
91	1	0.397032	0.238438	1.19932	0	125.892	3844.69	0.00205363	0.322725
92	1	0.404661	0.22702	1.20604	0	124.816	3837.69	0.0020398	0.291992
93	1	0.41235	0.215718	1.21291	0	123.72	3830.5	0.00202569	0.263118
