i	XD	ThetaCalc	ThetaE	xE	rE	Err
49	1.59201	5.85035	9.77683	1.59201	0.685366	0.671153
50	1.60144	5.72645	9.70622	1.60144	0.683221	0.69498
51	1.6103	5.61228	9.64277	1.6103	0.681209	0.718155
52	1.6191	5.49828	9.57978	1.6191	0.67921	0.742323
53	1.62761	5.38882	9.52025	1.62761	0.677277	0.766667
54	1.63611	5.27899	9.46081	1.63611	0.675349	0.792161
55	1.64441	5.17195	9.40357	1.64441	0.673465	0.818186
56	1.6527	5.06466	9.34649	1.6527	0.671585	0.845432
57	1.66085	4.95921	9.29095	1.66085	0.669737	0.873474
58	1.66898	4.85364	9.23564	1.66898	0.667895	0.902826
59	1.67701	4.74931	9.18146	1.67701	0.666076	0.933219
60	1.68501	4.64489	9.12752	1.68501	0.664264	0.965065
61	1.69492	4.51529	9.06112	1.69492	0.662019	1.00676
62	1.7032	4.40647	9.0057	1.7032	0.660145	1.04374
63	1.71136	4.29938	8.95171	1.71136	0.6583	1.08209
64	1.71951	4.19183	8.89775	1.71951	0.656456	1.12264
65	1.72757	4.08546	8.84486	1.72757	0.654634	1.16496
66	1.73561	3.9788	8.7921	1.73561	0.652815	1.20974
67	1.74358	3.87293	8.74016	1.74358	0.651013	1.25673
68	1.75153	3.76695	8.68845	1.75153	0.649216	1.30649
69	1.75942	3.66148	8.63738	1.75942	0.647432	1.35898
70	1.76729	3.556	8.5866	1.76729	0.645655	1.41468
71	1.77511	3.45086	8.53633	1.77511	0.643888	1.47368
72	1.7829	3.3457	8.48637	1.7829	0.642127	1.5365
73	1.79065	3.24081	8.43686	1.79065	0.640375	1.60332
74	1.79838	3.13587	8.38762	1.79838	0.638629	1.67474
75	1.80608	3.03113	8.33882	1.80608	0.636891	1.75106
76	1.81375	2.9263	8.29025	1.81375	0.635158	1.83301
77	1.82139	2.82162	8.24208	1.82139	0.633432	1.92104
78	1.82901	2.7168	8.19412	1.82901	0.631711	2.01609
79	1.8366	2.61199	8.14645	1.8366	0.629996	2.11886
80	1.84523	2.49231	8.09235	1.84523	0.628045	2.24692
81	1.85317	2.38179	8.04268	1.85317	0.626253	2.37674
82	1.86102	2.27243	7.99399	1.86102	0.624479	2.51782
83	1.86888	2.16237	7.94522	1.86888	0.622703	2.67431
84	1.87667	2.05304	7.89718	1.87667	0.620941	2.84658
85	1.88447	1.94318	7.84918	1.88447	0.619178	3.03935
86	1.89222	1.8338	7.80177	1.89222	0.617426	3.25443
87	1.89996	1.72399	7.75443	1.89996	0.615675	3.49796
88	1.90767	1.61448	7.70756	1.90767	0.613933	3.77404
89	1.91537	1.50461	7.66082	1.91537	0.612192	4.09157
90	1.92303	1.39491	7.61447	1.92303	0.610457	4.45877
91	1.93068	1.28501	7.56835	1.93068	0.608726	4.88971
92	1.93831	1.17506	7.52251	1.93831	0.606999	5.40182
93	1.94592	1.06494	7.47689	1.94592	0.605276	6.02094
94	1.95352	0.954789	7.43156	1.95352	0.603557	6.78345
95	1.9611	0.844386	7.38641	1.9611	0.60184	7.74767
96	1.96866	0.733912	7.34153	1.96866	0.600127	9.00329
97	1.9762	0.623206	7.29684	1.9762	0.598416	10.7085
98	1.98373	0.512366	7.25238	1.98373	0.596709	13.1547
99	1.99125	0.401319	7.20814	1.99125	0.595004	16.9611
100	1.99876	0.290083	7.16411	1.99876	0.593301	23.6967
101	2.00625	0.178578	7.12025	2.00625	0.5916	38.8718
